CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2608057;Jatobá;2600117;2610235;1;Aldeia Indígena Caxiado;260805705000012;Rural;5;5;260805700004;Aldeia Indígena Caxiado;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;4259;2;47609;1;;-9.16644114173753;-38.2334371494635
26;Pernambuco;2608057;Jatobá;2600118;2610235;2;Aldeia Indígena Caxiado;260805705000034;Rural;7;5;260805700021;Aldeia Indígena Caxiado 2;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;4259;2;47609;1;;-9.171206694458563;-38.228326805555554
26;Pernambuco;2610905;Pesqueira;2600119;2610228;1;Aldeia Indígena Mimoso da Reserva Xukuru de Cimbres;261090515000013;Rural;7;5;261090500064;Aldeia Indígena Santa Maria / Santa Helena / Mimoso;50677;70201;Xukuru de Cimbres;Regularizada;30202001969;Nordeste I;3239;2;;;;-8.40721663890181;-36.82093166666667
26;Pernambuco;2610905;Pesqueira;2600120;2610228;2;Aldeia Indígena Mimoso da Reserva Xukuru de Cimbres;261090515000013;Rural;7;5;261090500064;Aldeia Indígena Santa Maria / Santa Helena / Mimoso;50677;70201;Xukuru de Cimbres;Regularizada;30202001969;Nordeste I;3239;2;;;;-8.409496638901814;-36.82375330555555
26;Pernambuco;2603009;Cabrobó;2600121;2610214;1;Aldeia Indígena Lameirão;260300905000053;Rural;7;5;260300900019;Aldeia Indígena Lameirão 1;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;2105;2;50043;1;;-8.508347222235304;-39.36572827777778
26;Pernambuco;2610905;Pesqueira;2600122;2610382;1;Aldeia Indígena Pé de Serra de Cana Brava;261090505000060;Rural;5;5;261090500021;Aldeia Indígena Pé de Serra de Cana Brava;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;4868;2;49791;1;;-8.282442888901619;-36.67837047222221
26;Pernambuco;2603926;Carnaubeira da Penha;2600124;2610301;1;Aldeia Indígena Cachoeira 1;260392605000125;Rural;7;5;260392600086;Aldeia Indígena Cachoeira I 3;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;;;47504;1;;-8.33419711112392;-38.78088783333333
26;Pernambuco;2608057;Jatobá;2600125;2610056;1;Aldeia Indígena Carapina;260805705000038;Rural;7;5;260805700019;Aldeia Indígena Carapina;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;3239;2;;;;-9.12038836112515;-38.209339
26;Pernambuco;2603926;Carnaubeira da Penha;2600127;2610284;1;Aldeia Indígena Jacaré;260392605000033;Rural;7;5;260392600023;Aldeia Indígena Jacaré;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;2363;2;47508;1;;-8.282803972234948;-38.75691236111111
26;Pernambuco;2603009;Cabrobó;2600128;2610006;1;Aldeia Indígena Jatobazeiro;260300905000104;Rural;7;5;260300900022;Aldeia Indígena Portões / Portão;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;3239;2;;;;-8.519990250013096;-39.326866027777776
26;Pernambuco;2603009;Cabrobó;2600130;2610266;1;Aldeia Indígena Caititu;260300905000097;Rural;7;5;260300900017;Aldeia Indígena Caititu 1;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;3239;2;;;;-8.527540083346446;-39.364416166666665
26;Pernambuco;2603926;Carnaubeira da Penha;2600131;2610318;1;Aldeia Indígena Angico de Demésio;260392605000015;Rural;7;5;260392600024;Aldeia Indígena Angico de Demésio;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;1385;2;47499;1;;-8.3381238889017;-38.811781027777776
