CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2608057;Jatobá;2600011;2610333;1;Aldeia Indígena Caldeirão;260805720000004;Rural;5;5;260805700005;Aldeia Indígena Caldeirão;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;49216;1;;-9.164464027791883;-38.21306986111111
26;Pernambuco;2615805;Tupanatinga;2600012;2610242;1;Aldeia Indígena Pau-Ferro Grosso;261580505000034;Rural;5;5;261580500007;Aldeia Indígena Pau-Ferro Grosso;6343;20901;Kapinawá;Regularizada;30202001969;Nordeste I;3239;2;;;;-8.597433444457662;-37.297645555555555
26;Pernambuco;2610905;Pesqueira;2600013;2610010;1;Aldeia Indígena Cajueiro;261090510000015;Rural;5;5;261090500031;Aldeia Indígena Cajueiro;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3025;1;50517;1;;-8.3590433055684;-36.83048
26;Pernambuco;2603009;Cabrobó;2600014;2610125;1;Aldeia Indígena Caatinga Grande;260300905000043;Rural;5;5;260300900027;Aldeia Indígena Caatinga Grande;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;1390;2;47649;1;;-8.537684333346458;-39.312634527777774
26;Pernambuco;2605707;Floresta;2600015;2610008;1;Aldeia Indígena Travessa do Ouro;260570710000008;Rural;5;5;260570700005;Aldeia Indígena Travessão do Ouro;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;4615;2;47582;1;;-8.57867202779097;-37.93452122222222
26;Pernambuco;2603926;Carnaubeira da Penha;2600016;2610138;1;Aldeia Indígena Olho d'Água dos Padres;260392605000018;Rural;5;5;260392600004;Aldeia Indígena Olho d'água dos Padres;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;2900;1;49449;1;;-8.277561388901608;-38.829668416666664
26;Pernambuco;2603926;Carnaubeira da Penha;2600017;2610196;1;Aldeia Indígena Serra do Umã;260392605000020;Rural;5;5;260392600003;Aldeia Indígena Serra do Umã;6300;4501;Atikum;Regularizada;30202001983;Baixo São Francisco;2902;1;;;;-8.301253722234978;-38.77586436111111
26;Pernambuco;2610905;Pesqueira;2600018;2610321;1;Aldeia Indígena Cana Brava;261090505000153;Rural;5;5;261090500022;Aldeia Indígena Cana Brava;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3034;1;50621;1;;-8.307359000012768;-36.68372761111111
26;Pernambuco;2602803;Buíque;2600019;2610401;1;Aldeia Indígena Mina Grande;260280305000034;Rural;5;5;260280300002;Aldeia Indígena Mina Grande;6343;20901;Kapinawá;Regularizada;30202001969;Nordeste I;3000;1;49345;1;;-8.637849666679951;-37.28242952777778
26;Pernambuco;2608057;Jatobá;2600020;2610240;1;Aldeia Indígena Bem Querer de Baixo;260805705000025;Rural;5;5;260805700006;Aldeia Indígena Bem Querer de Baixo;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;49551;1;;-9.156157222236317;-38.22792486111111
